,school_name,overview_paragraph,neighborhood,location,website,grades2018,finalgrades,total_students,graduation_rate,attendance_rate,college_career_rate,Borough,addr_zip,Latitude,Longitude
0,Repertory Company High School for Theatre Arts,"We offer a college-preparatory program and New York City's only comprehensive three-part theater arts sequence, where students hone their skills in music, dance, and acting. Students completing our program graduate with an Advanced Regents diploma with an Arts Endorsement in Theater. Our location in Times Square supports our school's focus. Our small size offers students an intimate environment to explore all aspects of theater from production to performance. Students participate in numerous class-based productions each year, and also have the opportunity to participate in our mainstage musical and straight play productions. Our balance of arts and academics allows our graduates to pursue a multitude of post-secondary paths.",Midtown,"123 West 43rd Street, Manhattan NY 10036(40.756089, -73.984381)",repertorycompanyhs.org,9 to 12,9 to 12,242,0.96,0.91,0.87,MANHATTAN,10036,40.755843,-73.984382
1,Thurgood Marshall Academy for Learning and Social Change,"Thurgood Marshall Academy is an academically rigorous environment where college and career readiness drive instruction and practices. Every student will embrace their global responsibility, have a vision for their future, a plan for realizing that vision, and the knowledge, skills, and experiences for setting it in motion.",Central Harlem North,"200-214 West 135th Street, Manhattan NY 10030(40.815237, -73.944299)",schools.nyc.gov/SchoolSearch,6 to 12,6 to 12,547,0.81,0.91,0.6,MANHATTAN,10030,40.815509000000006,-73.944202
2,Bard High School Early College Queens,"Bard High School Early College Queens (BHSEC Queens) was founded on the belief that many students are ready to do serious college work at age 16. Bard College, in partnership with the New York City Department of Education, has created an innovative program that enables high school students to move, in four years, from ninth grade through the first two years of college. During this time, students will earn a high school diploma, up to 60 college credits, and an Associate of Arts (AA) degree upon graduation. We have a very welcoming environment for all students with over 30 different home languages, a gender neutral bathroom, and a variety of clubs to celebrate the strength and unity of our differences.",Hunters Point-Sunnyside,"30-20 Thomson Avenue, Long Island City NY 11101(40.744175, -73.937004)",bard.edu/earlycollege,9 to 12,9 to 12,623,0.99,0.97,0.94,QUEENS   ,11101,40.745095,-73.936635
3,Professional Pathways High School,"In partnership with CAMBA, Professional Pathways High School is a small school dedicated to educating and motivating students in an alternative setting through a personalized approach to learning and development. The school's mission is to support the academic and social needs of students through strong partnerships between all members of the school community, re-engaging students academically through project-based learning with an emphasis on post-secondary readiness and literacy, and building college/career readiness through computer literacy and career exposure. We will ensure that each student graduates with clearly articulated goals and a plan for post-secondary success.",Sheepshead Bay,"3000 Avenue X, Brooklyn NY 11235(40.593157, -73.936635)",schools.nyc.gov/SchoolSearch,"School is structured on credit needs, not grade level","School is structured on credit needs, not grade level",205,0.7905707196029778,0.56,0.5928385416666667,BROOKLYN ,11235,40.594124,-73.937696
4,Frank McCourt High School,"At Frank McCourt High School (FMHS), we prepare our students to be articulate and effective communicators in every medium. In particular, we will develop students' communication skills through their writing, presentations, classroom discussions, and peer dialogue. In developing these skills, students will also sharpen their critical and analytical thinking. Every student will graduate from FMHS armed with the curiosity and intellect of a true lifelong learner. We are committed to helping our students become engaged citizens and thoughtful civic leaders who can communicate their vision with clarity and eloquence.",Upper West Side,"145 West 84th Street, Manhattan NY 10024(40.786134, -73.974483)",fmhsnyc.org,9 to 12,9 to 12,411,0.97,0.93,0.78,MANHATTAN,10024,40.785803,-73.974614
5,Scholars' Academy,"Scholars' Academy is an academically accelerated high school that prepares students for college and careers of the 21st century. Comprised of multi-talented students, our diverse student body is challenged by an ambitious curriculum in English, math, science, social studies, Spanish language, and the arts. Teachers work closely with students on an individual basis within a school-wide cooperative group structure to ensure their success. High school students follow a strict dress policy and students are expected to perform at a high level academically. Scholars' Academy is ranked on the Best NYC High Schools by US News and World Report.",Breezy Point-Rockaway Park,"320 Beach 104th Street, Rockaway Park NY 11694(40.584543, -73.825162)",scholarsnyc.com,6 to 12,6 to 12,1376,1.0,0.95,0.98,QUEENS   ,11694,40.584109000000005,-73.825711
6,Queens High School for the Sciences at York College,"Queens High School for the Sciences at York College is dedicated to preparing students for college and career by providing them with a rigorous curriculum that emphasizes the sciences and mathematics. The school philosophy is to educate the 'whole child.' In addition to emphasis on academics, there is a strong focus on the liberal arts and on the development of student interpersonal, intrapersonal, collaborative, and communication skills. Ultimately, we believe that through academic preparation and emphasis on the soft skills, students will become lifelong learners and independent thinker and make tremendous contributions to our society.",Jamaica,"94-50 159th Street, Jamaica NY 11433(40.700884, -73.798364)",qhss.org,9 to 12,9 to 12,473,1.0,0.97,0.91,QUEENS   ,11433,40.701049,-73.798151
7,Academy for Young Writers,"Young Writers is a small supportive community where excellent teaching, close relationships, and high expectations lead students to college and career. We value respect, kindness, safety, and empathy. Classes are student-centered and project-based. We focus on developing reading, writing, discussion, and presentation skills, while encouraging the exploration of STEM topics and self-expression through the arts. Advisory classes are the foundation of our community and support a restorative approach to discipline. Students are encouraged to build trusting relationships, to be themselves, to take risks, and to undergo personal growth over their four years. We seek parents and students who are interested in belonging to close-knit school community.",East New York,"1065 Elton Street, Brooklyn NY 11208(40.657266, -73.874064)",afyw.org,6 to 12,6 to 12,546,0.89,0.88,0.73,BROOKLYN ,11208,40.657459,-73.874756
8,Millennium Brooklyn High School,"The mission of Millennium Brooklyn High School is to create an inclusive, diverse, rigorous learning environment rooted in a project-based curricula. We offer a wide range of courses and focus on the development of reading, writing, problem-solving, and critical-thinking skills. By providing a strong academic foundation and rich extracurricular options, we aim to prepare graduates for a college of their choice and post-secondary success. In addition to a strong course sequence, our school partnerships provide students with additional opportunities for academic challenge. Partners are involved in curriculum development, the extended-day program, and parent support and outreach.",Park Slope-Gowanus,"237 7th Avenue, Brooklyn NY 11215(40.669255, -73.97858)",millenniumbrooklynhs.org,9 to 12,9 to 12,672,0.99,0.94,0.88,BROOKLYN ,11215,40.669629,-73.979287
9,Port Richmond High School,"Port Richmond High School is a comprehensive Community School that empowers students to reach their highest academic potential in a nurturing environment. Small, interest-based learning communities and a rigorous honors program are open to all students and offer a variety of services to our students and families through our new Port Richmond High School Health and Wellness Center. During students' first year, the Freshman Academy provides a culture of high standards, advanced courses, and academic support systems that address individual students' needs. Students are exposed to a wide array of extracurricular and athletic activities in combination with a challenging academic program that prepares them for college and the world of work.",Port Richmond,"85 St. Josephs Avenue, Staten Island NY 10302(40.635562, -74.141924)",portrichmondhs.org,9 to 12,9 to 12,1549,0.67,0.86,0.36,STATEN IS,10302,40.634572999999996,-74.141818
